observation_date,WPS012202
2005-01-01,77.900
2005-02-01,73.900
2005-03-01,78.400
2005-04-01,72.100
2005-05-01,72.100
2005-06-01,74.600
2005-07-01,84.700
2005-08-01,79.600
2005-09-01,71.900
2005-10-01,72.300
2005-11-01,76.600
2005-12-01,77.900
2006-01-01,77.800
2006-02-01,77.300
2006-03-01,76.000
2006-04-01,83.200
2006-05-01,82.000
2006-06-01,79.800
2006-07-01,93.500
2006-08-01,86.000
2006-09-01,90.600
2006-10-01,124.300
2006-11-01,150.100
2006-12-01,139.900
2007-01-01,134.200
2007-02-01,152.300
2007-03-01,146.300
2007-04-01,128.900
2007-05-01,134.600
2007-06-01,140.500
2007-07-01,131.900
2007-08-01,131.600
2007-09-01,133.900
2007-10-01,140.700
2007-11-01,155.000
2007-12-01,168.200
2008-01-01,192.200
2008-02-01,184.100
2008-03-01,205.900
2008-04-01,221.200
2008-05-01,214.600
2008-06-01,235.500
2008-07-01,237.700
2008-08-01,216.900
2008-09-01,214.700
2008-10-01,170.000
2008-11-01,154.100
2008-12-01,127.600
2009-01-01,139.400
2009-02-01,142.400
2009-03-01,142.200
2009-04-01,143.400
2009-05-01,156.400
2009-06-01,159.400
2009-07-01,139.600
2009-08-01,143.800
2009-09-01,134.900
2009-10-01,156.500
2009-11-01,151.500
2009-12-01,148.100
2010-01-01,145.300
2010-02-01,136.500
2010-03-01,134.500
2010-04-01,132.600
2010-05-01,137.400
2010-06-01,124.500
2010-07-01,140.500
2010-08-01,150.900
2010-09-01,176.000
2010-10-01,214.100
2010-11-01,219.700
2010-12-01,232.700
2011-01-01,241.400
2011-02-01,265.900
2011-03-01,247.900
2011-04-01,274.700
2011-05-01,264.200
2011-06-01,275.200
2011-07-01,262.800
2011-08-01,288.300
2011-09-01,285.500
2011-10-01,269.800
2011-11-01,277.500
2011-12-01,255.500
2012-01-01,264.100
2012-02-01,254.500
2012-03-01,257.600
2012-04-01,242.700
2012-05-01,234.200
2012-06-01,227.000
2012-07-01,303.500
2012-08-01,321.600
2012-09-01,320.600
2012-10-01,321.200
2012-11-01,315.500
2012-12-01,307.600
2013-01-01,303.600
2013-02-01,287.000
2013-03-01,286.300
2013-04-01,252.300
2013-05-01,270.200
2013-06-01,270.300
2013-07-01,270.800
2013-08-01,226.600
2013-09-01,202.200
2013-10-01,185.800
2013-11-01,182.100
2013-12-01,176.700
2014-01-01,173.500
2014-02-01,174.800
2014-03-01,179.900
2014-04-01,188.700
2014-05-01,191.000
2014-06-01,169.500
2014-07-01,147.500
2014-08-01,146.900
2014-09-01,140.200
2014-10-01,138.700
2014-11-01,148.600
2014-12-01,153.300
2015-01-01,151.900
2015-02-01,151.600
2015-03-01,146.400
2015-04-01,142.400
2015-05-01,137.300
2015-06-01,135.900
2015-07-01,163.800
2015-08-01,153.900
2015-09-01,159.200
2015-10-01,156.400
2015-11-01,149.500
2015-12-01,150.400
2016-01-01,141.500
2016-02-01,139.300
2016-03-01,138.700
2016-04-01,136.600
2016-05-01,139.400
2016-06-01,159.700
2016-07-01,131.100
2016-08-01,129.900
2016-09-01,130.700
2016-10-01,132.600
2016-11-01,135.200
2016-12-01,135.500
2017-01-01,137.400
2017-02-01,138.200
2017-03-01,135.100
2017-04-01,133.100
2017-05-01,133.000
2017-06-01,137.000
2017-07-01,147.100
2017-08-01,138.900
2017-09-01,138.900
2017-10-01,135.100
2017-11-01,131.300
2017-12-01,129.000
2018-01-01,133.400
2018-02-01,136.600
2018-03-01,143.200
2018-04-01,141.300
2018-05-01,144.800
2018-06-01,138.900
2018-07-01,130.800
2018-08-01,145.300
2018-09-01,143.700
2018-10-01,142.500
2018-11-01,145.400
2018-12-01,146.700
2019-01-01,140.600
2019-02-01,140.400
2019-03-01,135.900
2019-04-01,133.400
2019-05-01,134.100
2019-06-01,162.600
2019-07-01,176.800
2019-08-01,158.300
2019-09-01,157.500
2019-10-01,169.300
2019-11-01,160.100
2019-12-01,153.100
2020-01-01,158.100
2020-02-01,149.000
2020-03-01,150.800
2020-04-01,119.300
2020-05-01,115.800
2020-06-01,121.100
2020-07-01,128.600
2020-08-01,126.900
2020-09-01,152.300
2020-10-01,162.900
2020-11-01,172.100
2020-12-01,171.200
2021-01-01,208.800
2021-02-01,215.900
2021-03-01,217.800
2021-04-01,227.000
2021-05-01,292.000
2021-06-01,266.500
2021-07-01,268.913
2021-08-01,274.556
2021-09-01,237.896
2021-10-01,225.495
2021-11-01,231.840
2021-12-01,241.476
2022-01-01,245.654
2022-02-01,249.855
2022-03-01,292.388
2022-04-01,298.653
2022-05-01,300.735
2022-06-01,304.836
2022-07-01,294.797
2022-08-01,301.203
2022-09-01,325.474
2022-10-01,302.774
2022-11-01,287.627
2022-12-01,275.187
2023-01-01,274.714
2023-02-01,274.865
2023-03-01,258.057
2023-04-01,261.191
2023-05-01,246.790
2023-06-01,247.619
2023-07-01,230.237
2023-08-01,223.076
2023-09-01,209.157
2023-10-01,203.756
2023-11-01,193.347
2023-12-01,188.466
2024-01-01,179.995
2024-02-01,164.513
2024-03-01,171.594
2024-04-01,164.023
2024-05-01,175.410
2024-06-01,169.914
2024-07-01,165.455
2024-08-01,164.507
2024-09-01,170.241
2024-10-01,166.116
2024-11-01,175.205
2024-12-01,177.122
2025-01-01,184.974
